,anime_id,title,type,source,episodes,airing,aired_string,duration,rating,score,scored_by,rank,popularity,members,favorites,premiered,broadcast,producer,studio,genre
11915,32828,Amaama to Inazuma,TV,Manga,12,False,"Jul 5, 2016 to Sep 20, 2016",24 min. per ep.,PG-13 - Teens 13 or older,7.57,66234,1420.0,541,149754,519,Summer 2016,Tuesdays at 01:05 (JST),"Toei Video, Kodansha, Shin-Ei Animation, DAX Production, Asmik Ace Entertainment, Yomiuri TV Enterprise, Sumitomo",TMS Entertainment,"Comedy, Seinen, Slice of Life"
11916,31964,Boku no Hero Academia,TV,Manga,13,False,"Apr 3, 2016 to Jun 26, 2016",24 min. per ep.,PG-13 - Teens 13 or older,8.44,494037,137.0,27,763973,19712,Spring 2016,Sundays at 17:00 (JST),"Dentsu, Mainichi Broadcasting System, Movic, TOHO animation, Shueisha",Bones,"Action, Comedy, School, Shounen, Super Power"
11918,5675,Basquash!,TV,Original,26,False,"Apr 3, 2009 to Oct 2, 2009",24 min. per ep.,PG-13 - Teens 13 or older,7.33,13886,2298.0,1943,34677,163,Spring 2009,Fridays at 01:25 (JST),Mainichi Broadcasting System,Satelight,"Sports, Mecha, Shounen"
11921,1638,Peter Pan no Bouken,TV,Unknown,41,False,"Jan 15, 1989 to Dec 24, 1989",23 min. per ep.,G - All Ages,6.89,1244,3966.0,6268,2624,7,Winter 1989,Sundays at 19:30 (JST),Fuji TV,Nippon Animation,"Adventure, Fantasy"
11926,14829,Fate/kaleid liner Prisma☆Illya,TV,Manga,10,False,"Jul 13, 2013 to Sep 14, 2013",24 min. per ep.,PG-13 - Teens 13 or older,7.24,62867,2649.0,579,143884,705,Summer 2013,Saturdays at 01:30 (JST),"Lantis, Kadokawa Shoten, AT-X, DAX Production, KlockWorx, Notes, Dwango, Tokyo MX, Docomo Anime Store, Kadokawa Media House",Silver Link.,"Action, Comedy, Magic, Fantasy"
11936,5032,Cobra The Animation,TV,Manga,13,False,"Jan 2, 2010 to Mar 27, 2010",24 min. per ep.,R+ - Mild Nudity,7.16,2047,2950.0,4781,5292,17,Winter 2010,Saturdays at 23:30 (JST),Happinet Pictures,Magic Bus,"Action, Adventure, Space, Sci-Fi"
11938,4382,Suzumiya Haruhi no Yuuutsu (2009),TV,Light novel,14,False,"May 22, 2009 to Sep 11, 2009",24 min. per ep.,PG-13 - Teens 13 or older,7.27,181648,2546.0,202,306024,1681,Spring 2009,Fridays at 00:40 (JST),Kadokawa Shoten,Kyoto Animation,"Sci-Fi, Slice of Life, Mystery, Comedy, Parody, Romance, School"
11939,28207,Ketsuekigata-kun! 2,TV,Web manga,12,False,"Jan 8, 2015 to Mar 26, 2015",2 min. per ep.,PG-13 - Teens 13 or older,6.63,1383,5069.0,5991,2959,3,Winter 2015,Thursdays at 21:55 (JST),Earth Star Entertainment,feel.,Comedy
11950,271,Gad Guard,TV,Original,26,False,"Apr 16, 2003 to Sep 25, 2003",25 min. per ep.,PG-13 - Teens 13 or older,6.77,3294,4444.0,3726,9697,17,Spring 2003,Thursdays at 02:58 (JST),"Hal Film Maker, Media Factory, Imagica, Amber Film Works",Gonzo,"Sci-Fi, Adventure, Mecha, Shounen"
11952,8287,SD Gundam Sangokuden Brave Battle Warriors,TV,Original,51,False,"Apr 3, 2010 to Mar 19, 2011",12 min. per ep.,PG - Children,6.46,842,5775.0,6075,2860,2,Spring 2010,Unknown,"Sotsu, TV Tokyo Music",Sunrise,"Action, Mecha, Historical"
